countyname,state,numberofplans1,numberofplans2,countyssa,eligibles,totalenrollees,totalpenetration
PRESTON ,WV ,1,1,51380,5687,121,2.1276596
PUTNAM ,WV ,2,1,51390,8031,61,.75955671
RALEIGH ,WV ,2,1,51400,16929,2092,12.357493
RANDOLPH ,WV ,1,1,51410,6146,125,2.033843
RITCHIE ,WV ,1,1,51420,2139,20,.93501633
ROANE ,WV ,1,1,51430,3123,26,.83253282
SUMMERS ,WV ,2,2,51440,2898,278,9.592823
TAYLOR ,WV ,1,1,51450,2798,55,1.9656898
TUCKER ,WV ,1,1,51460,1574,20,1.270648
TYLER ,WV ,2,2,51470,1766,110,6.2287655
UPSHUR ,WV ,1,1,51480,4501,160,3.5547657
WAYNE ,WV ,2,2,51490,6768,165,2.4379432
WEBSTER ,WV ,1,1,51500,2226,135,6.0646901
WETZEL ,WV ,2,2,51510,4251,260,6.1162081
WIRT ,WV ,0,0,51520,1179,0,0
WOOD ,WV ,2,0,51530,17796,41,.23038885
WYOMING ,WV ,1,1,51540,5903,989,16.754192
ALBANY ,WY ,1,1,53000,3246,88,2.7110291
BIG HORN ,WY ,0,0,53010,2148,0,0
CAMPBELL ,WY ,0,0,53020,2753,0,0
CARBON ,WY ,1,1,53030,2293,79,3.4452682
CONVERSE ,WY ,0,0,53040,1806,0,0
CROOK ,WY ,0,0,53050,1014,0,0
FREMONT ,WY ,0,0,53060,6261,0,0
GOSHEN ,WY ,0,0,53070,2493,0,0
HOT SPRINGS ,WY ,0,0,53080,1198,0,0
JOHNSON ,WY ,0,0,53090,1562,0,0
LARAMIE ,WY ,2,1,53100,12356,487,3.9414051
LINCOLN ,WY ,0,0,53110,2202,0,0
NATRONA ,WY ,0,0,53120,10563,0,0
NIOBRARA ,WY ,0,0,53130,538,0,0
PARK ,WY ,0,0,53140,4921,0,0
PLATTE ,WY ,0,0,53150,1848,0,0
SHERIDAN ,WY ,0,0,53160,4883,0,0
SUBLETTE ,WY ,0,0,53170,896,0,0
SWEETWATER ,WY ,2,2,53180,4026,184,4.5702929
TETON ,WY ,0,0,53190,1698,0,0
UINTA ,WY ,1,1,53200,2006,62,3.0907278
WASHAKIE ,WY ,0,0,53210,1554,0,0
WESTON ,WY ,0,0,53220,1295,0,0
